x, y, z, qx, qy, qz, qw
-0.0314869300, 0.0000489134, 0.1149231000, 0.0080325600, 0.0001220703, 0.0084775170, 0.9999318000
-0.0314867600, 0.0000366713, 0.1149080000, 0.0079645620, 0.0001220703, 0.0084669650, 0.9999324000
-0.0315272500, 0.0000555667, 0.1149122000, 0.0080186350, 0.0001220703, 0.0084757590, 0.9999319000
-0.0315289300, 0.0000639805, 0.1148951000, 0.0079897790, 0.0002114320, 0.0084740010, 0.9999321000
-0.0315178700, 0.0000790577, 0.1148879000, 0.0080009620, 0.0001220703, 0.0084740010, 0.9999321000
-0.0315117400, 0.0000753517, 0.1148947000, 0.0079561380, 0.0001726335, 0.0084713630, 0.9999325000
-0.0315231200, 0.0000634024, 0.1149001000, 0.0079570750, 0.0001726335, 0.0084766380, 0.9999324000
-0.0315256000, 0.0001359117, 0.1149078000, 0.0080204930, 0.0001220703, 0.0084775170, 0.9999319000
-0.0315127000, 0.0001014717, 0.1149202000, 0.0079420790, 0.0001220703, 0.0084898130, 0.9999324000
-0.0315190400, 0.0001234780, 0.1149239000, 0.0130797600, 0.0001726335, 0.0138376300, 0.9998187000
-0.0315087900, 0.0001063494, 0.1149278000, 0.0181437700, 0.0002441406, 0.0191506500, 0.9996519000
-0.0315028600, 0.0005386380, 0.1148902000, 0.0183978200, 0.0001726335, 0.0192058200, 0.9996462000
-0.0314904900, 0.0006007843, 0.1148695000, 0.0183783700, 0.0002114320, 0.0192217100, 0.9996462000
-0.0314992800, 0.0008588085, 0.1148358000, 0.0184891200, 0.0002441406, 0.0192523100, 0.9996436000
-0.0314869400, 0.0010794200, 0.1148143000, 0.0185165000, 0.0001726335, 0.0192925200, 0.9996424000
-0.0314755000, 0.0007546223, 0.1148313000, 0.0182224400, 0.0002114320, 0.0191712600, 0.9996501000
-0.0314667100, 0.0005030420, 0.1148397000, 0.0180903100, 0.0001220703, 0.0191658200, 0.9996526000
-0.0314701300, 0.0004410020, 0.1148575000, 0.0182085400, 0.0002114320, 0.0191712600, 0.9996504000
-0.0314778900, 0.0003579077, 0.1148650000, 0.0181466500, 0.0002114320, 0.0192224900, 0.9996505000
-0.0314581900, 0.0001528014, 0.1149019000, 0.0180742400, 0.0002114320, 0.0191953400, 0.9996523000
-0.0314606500, 0.0002000107, 0.1149136000, 0.0182126300, 0.0002114320, 0.0191650400, 0.9996504000
-0.0314581600, 0.0001862361, 0.1149189000, 0.0181667500, 0.0002114320, 0.0191323600, 0.9996518000
-0.0314587900, 0.0001760630, 0.1149219000, 0.0181638800, 0.0002441406, 0.0191879600, 0.9996508000
-0.0314573100, 0.0002091284, 0.1149513000, 0.0182273500, 0.0002114320, 0.0192062000, 0.9996493000
-0.0314599100, 0.0002152587, 0.1149596000, 0.0182154900, 0.0002441406, 0.0191584300, 0.9996505000
-0.0314512700, 0.0002359314, 0.1149587000, 0.0181884800, 0.0001726335, 0.0191763100, 0.9996507000
-0.0314477200, 0.0001738106, 0.1149646000, 0.0181306300, 0.0002114320, 0.0192031000, 0.9996511000
-0.0314474900, 0.0001780687, 0.1149678000, 0.0181856100, 0.0001726335, 0.0191615400, 0.9996510000
-0.0314920800, 0.0001810113, 0.1149689000, 0.0181757700, 0.0002729575, 0.0191774800, 0.9996508000
-0.0314844800, 0.0002412477, 0.1149686000, 0.0182314400, 0.0001726335, 0.0191778600, 0.9996498000
-0.0314646200, 0.0002410412, 0.1149906000, 0.0181683900, 0.0001726335, 0.0191739800, 0.9996511000
-0.0314811800, 0.0002271081, 0.1149983000, 0.0181708500, 0.0002114320, 0.0191580400, 0.9996513000
-0.0314997300, 0.0001981778, 0.1150023000, 0.0181384300, 0.0002729575, 0.0191899000, 0.9996513000
-0.0314621700, 0.0001715633, 0.1150132000, 0.0181367900, 0.0002114320, 0.0191906800, 0.9996513000
-0.0314567400, 0.0001833016, 0.1150074000, 0.0181917500, 0.0001726335, 0.0191949500, 0.9996502000
-0.0314789900, 0.0001786932, 0.1150081000, 0.0181655200, 0.0002441406, 0.0191654300, 0.9996512000
-0.0315240200, 0.0001740517, 0.1150048000, 0.0181569100, 0.0002441406, 0.0191700900, 0.9996513000
-0.0315277200, 0.0001663311, 0.1150028000, 0.0181692100, 0.0002114320, 0.0191891300, 0.9996508000
-0.0315676400, 0.0002882724, 0.1150035000, 0.0181285700, 0.0001220703, 0.0192271400, 0.9996508000
-0.0315936100, 0.0003727612, 0.1150005000, 0.0179410100, 0.0000000000, 0.0190953200, 0.9996567000
-0.0316094500, 0.0005226702, 0.1148791000, 0.0169914700, -0.0001726335, 0.0179920200, 0.9996937000
-0.0315565900, 0.0005800668, 0.1147759000, 0.0177313200, 0.0001726335, 0.0177426600, 0.9996853000
-0.0306576000, -0.0221580000, 0.1167628000, 0.0227398400, 0.0040614760, 0.0170335100, 0.9995881000
-0.0302562100, -0.0308151500, 0.1181291000, 0.0299841100, 0.0059200950, 0.0165593200, 0.9993957000
-0.0279583300, -0.0297855500, 0.1189588000, 0.0364475500, 0.0070368000, 0.0185719500, 0.9991382000
-0.0277309000, -0.0134099900, 0.1191537000, 0.0405692400, 0.0089528400, 0.0230454400, 0.9988708000
-0.0274417100, -0.0129292600, 0.1193436000, 0.0360975300, 0.0104774500, 0.0292079800, 0.9988664000
-0.0273766500, 0.0065031570, 0.1175014000, 0.0244122300, 0.0138774100, 0.0403604400, 0.9987906000
-0.0270864500, 0.0082355160, 0.1173280000, 0.0198573500, 0.0158663200, 0.0443053000, 0.9986947000
-0.0274754700, 0.0115956300, 0.1159510000, 0.0257310800, 0.0197829300, 0.0530611400, 0.9980637000
-0.0273490400, 0.0106805900, 0.1157972000, 0.0319385900, 0.0216508800, 0.0587228000, 0.9975284000
-0.0274065900, 0.0113266000, 0.1161561000, 0.0387838000, 0.0237761500, 0.0648011700, 0.9968607000
-0.0267124100, -0.0033470550, 0.1190524000, 0.0392366300, 0.0254404600, 0.0698005300, 0.9964643000
-0.0262620000, -0.0149219900, 0.1223113000, 0.0366479400, 0.0267127700, 0.0734395800, 0.9962680000
-0.0284953100, 0.0275712200, 0.1212376000, 0.0334419200, 0.0276070600, 0.0762857400, 0.9961426000
-0.0310948700, 0.0464003200, 0.1195043000, 0.0300702100, 0.0275527600, 0.0773519400, 0.9961693000
-0.0327129300, 0.0598004000, 0.1188989000, 0.0273162200, 0.0267110900, 0.0770515100, 0.9962948000
