rx, ry, rz, qx, qy, qz, qw
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927100, -0.0495117400, -1.074031000, -0.2073949000, -0.3622102000, -0.1049629000, -0.902648300
0.0371927600, -0.0494937900, -1.074023000, -0.2070347000, -0.3622547000, -0.1049879000, -0.902710200
0.0371927600, -0.0494937900, -1.074023000, -0.2070347000, -0.3622547000, -0.1049879000, -0.902710200
0.0371927600, -0.0494937900, -1.074023000, -0.2070347000, -0.3622547000, -0.1049879000, -0.902710200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371904500, -0.0494822400, -1.074025000, -0.2070893000, -0.3621716000, -0.1049004000, -0.902741200
0.0371949500, -0.0495000300, -1.074018000, -0.2071389000, -0.3621803000, -0.1050083000, -0.902713800
0.0371949500, -0.0495000300, -1.074018000, -0.2071389000, -0.3621803000, -0.1050083000, -0.902713800
0.0371949500, -0.0495000300, -1.074018000, -0.2071389000, -0.3621803000, -0.1050083000, -0.902713800
0.0371949500, -0.0495000300, -1.074018000, -0.2071389000, -0.3621803000, -0.1050083000, -0.902713800
0.0371949500, -0.0495000300, -1.074018000, -0.2071389000, -0.3621803000, -0.1050083000, -0.902713800
0.0371949500, -0.0495000300, -1.074018000, -0.2071389000, -0.3621803000, -0.1050083000, -0.902713800
0.0371943500, -0.0495017000, -1.074034000, -0.2074082000, -0.3620643000, -0.1049226000, -0.902708400
0.0371943500, -0.0495017000, -1.074034000, -0.2074082000, -0.3620643000, -0.1049226000, -0.902708400
0.0371943500, -0.0495017000, -1.074034000, -0.2074082000, -0.3620643000, -0.1049226000, -0.902708400
0.0371943500, -0.0495017000, -1.074034000, -0.2074082000, -0.3620643000, -0.1049226000, -0.902708400
0.0371943500, -0.0495017000, -1.074034000, -0.2074082000, -0.3620643000, -0.1049226000, -0.902708400
0.0371943500, -0.0495017000, -1.074034000, -0.2074082000, -0.3620643000, -0.1049226000, -0.902708400
0.0371988400, -0.0495077300, -1.074020000, -0.2069297000, -0.3620926000, -0.1049459000, -0.902804300
0.0371988400, -0.0495077300, -1.074020000, -0.2069297000, -0.3620926000, -0.1049459000, -0.902804300
0.0371988400, -0.0495077300, -1.074020000, -0.2069297000, -0.3620926000, -0.1049459000, -0.902804300
0.0371988400, -0.0495077300, -1.074020000, -0.2069297000, -0.3620926000, -0.1049459000, -0.902804300
0.0371988400, -0.0495077300, -1.074020000, -0.2069297000, -0.3620926000, -0.1049459000, -0.902804300
0.0371988400, -0.0495077300, -1.074020000, -0.2069297000, -0.3620926000, -0.1049459000, -0.902804300
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372119100, -0.0494988700, -1.074019000, -0.2070732000, -0.3620624000, -0.1049432000, -0.902783700
0.0372078400, -0.0494951600, -1.074021000, -0.2071214000, -0.3620671000, -0.1049808000, -0.902766500
0.0372078400, -0.0494951600, -1.074021000, -0.2071214000, -0.3620671000, -0.1049808000, -0.902766500
0.0372078400, -0.0494951600, -1.074021000, -0.2071214000, -0.3620671000, -0.1049808000, -0.902766500
0.0372078400, -0.0494951600, -1.074021000, -0.2071214000, -0.3620671000, -0.1049808000, -0.902766500
0.0372078400, -0.0494951600, -1.074021000, -0.2071214000, -0.3620671000, -0.1049808000, -0.902766500
0.0372078400, -0.0494951600, -1.074021000, -0.2071214000, -0.3620671000, -0.1049808000, -0.902766500
0.0372216700, -0.0494928900, -1.074022000, -0.2072280000, -0.3620684000, -0.1050438000, -0.902734100
0.0372216700, -0.0494928900, -1.074022000, -0.2072280000, -0.3620684000, -0.1050438000, -0.902734100
0.0372216700, -0.0494928900, -1.074022000, -0.2072280000, -0.3620684000, -0.1050438000, -0.902734100
0.0372216700, -0.0494928900, -1.074022000, -0.2072280000, -0.3620684000, -0.1050438000, -0.902734100
0.0372216700, -0.0494928900, -1.074022000, -0.2072280000, -0.3620684000, -0.1050438000, -0.902734100
0.0372216700, -0.0494928900, -1.074022000, -0.2072280000, -0.3620684000, -0.1050438000, -0.902734100
0.0372040700, -0.0494996100, -1.074033000, -0.2072270000, -0.3621741000, -0.1049493000, -0.902702900
0.0372040700, -0.0494996100, -1.074033000, -0.2072270000, -0.3621741000, -0.1049493000, -0.902702900
0.0372040700, -0.0494996100, -1.074033000, -0.2072270000, -0.3621741000, -0.1049493000, -0.902702900
0.0372040700, -0.0494996100, -1.074033000, -0.2072270000, -0.3621741000, -0.1049493000, -0.902702900
0.0372040700, -0.0494996100, -1.074033000, -0.2072270000, -0.3621741000, -0.1049493000, -0.902702900
0.0372040700, -0.0494996100, -1.074033000, -0.2072270000, -0.3621741000, -0.1049493000, -0.902702900
0.0371945800, -0.0495063900, -1.074021000, -0.2071748000, -0.3621800000, -0.1049780000, -0.902709200
0.0371945800, -0.0495063900, -1.074021000, -0.2071748000, -0.3621800000, -0.1049780000, -0.902709200
0.0371945800, -0.0495063900, -1.074021000, -0.2071748000, -0.3621800000, -0.1049780000, -0.902709200
0.0371945800, -0.0495063900, -1.074021000, -0.2071748000, -0.3621800000, -0.1049780000, -0.902709200
0.0371945800, -0.0495063900, -1.074021000, -0.2071748000, -0.3621800000, -0.1049780000, -0.902709200
