rx, ry, rz, ax, ay, az, qx, qy, qz, qw
-0.4735666000, 0.0857766500, -0.174152400, 0.0145494100, -0.7436260000, -0.0281813300, -0.667843200, 0.4875309000, -0.9786444000, 0.797515400
-0.4741291000, 0.0870996200, -0.174958300, 0.0196633600, -0.7470627000, -0.0327845100, -0.663653400, 0.4069238000, -0.9976853000, 0.781257600
-0.4741291000, 0.0870996200, -0.174958300, 0.0196633600, -0.7470627000, -0.0327845100, -0.663653400, 0.4069238000, -0.9976853000, 0.781257600
-0.4746459000, 0.0867930100, -0.174955500, 0.0193746100, -0.7467023000, -0.0324171600, -0.664085400, 0.4348902000, -0.7783332000, 0.893953600
-0.4751962000, 0.0880253700, -0.175702800, 0.0243397800, -0.7499258000, -0.0369875700, -0.660038500, 0.4607643000, -0.6577937000, 0.848970400
-0.4751962000, 0.0880253700, -0.175702800, 0.0243397800, -0.7499258000, -0.0369875700, -0.660038500, 0.4607643000, -0.6577937000, 0.848970400
-0.4759461000, 0.0878119500, -0.175754800, 0.0243122000, -0.7492447000, -0.0367009700, -0.660828500, 0.3222583000, -0.0467719400, 0.860983300
-0.4765441000, 0.0889726100, -0.176424700, 0.0295079400, -0.7521934000, -0.0416848400, -0.656960300, 0.2446218000, -0.1063392000, 0.880416100
-0.4765441000, 0.0889726100, -0.176424700, 0.0295079400, -0.7521934000, -0.0416848400, -0.656960300, 0.2446218000, -0.1063392000, 0.880416100
-0.4766696000, 0.0889905200, -0.176425800, 0.0297233700, -0.7519264000, -0.0412758200, -0.657282000, 0.2212140000, 0.1283816000, 0.882081500
-0.4771703000, 0.0901926300, -0.177092100, 0.0350508600, -0.7545182000, -0.0462094600, -0.653711300, 0.1935213000, 0.1484874000, 0.861559500
-0.4771703000, 0.0901926300, -0.177092100, 0.0350508600, -0.7545182000, -0.0462094600, -0.653711300, 0.1935213000, 0.1484874000, 0.861559500
-0.4774365000, 0.0901954500, -0.177064400, 0.0354955900, -0.7539006000, -0.0464403900, -0.654383100, 0.0227870500, 0.4540218000, 0.987721200
-0.4779164000, 0.0914676200, -0.177594500, 0.0413082300, -0.7565009000, -0.0511048800, -0.650683000, -0.0295696800, 0.5331902000, 0.852553000
-0.4779164000, 0.0914676200, -0.177594500, 0.0413082300, -0.7565009000, -0.0511048800, -0.650683000, -0.0295696800, 0.5331902000, 0.852553000
-0.4783698000, 0.0914398500, -0.177631000, 0.0420972500, -0.7559396000, -0.0520602400, -0.651208900, 0.0379280400, 0.4291777000, 0.932245400
-0.4788681000, 0.0927312800, -0.178188400, 0.0480260300, -0.7577448000, -0.0571296900, -0.648268800, 0.1160747000, 0.4979131000, 0.895185800
-0.4788681000, 0.0927312800, -0.178188400, 0.0480260300, -0.7577448000, -0.0571296900, -0.648268800, 0.1160747000, 0.4979131000, 0.895185800
-0.4793583000, 0.0927450100, -0.178218900, 0.0486201600, -0.7573513000, -0.0576946500, -0.648634300, 0.1640623000, 0.3010057000, 0.934566200
