X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
-761.21452	55.83157	158.23922	0.94876	16.16210	31.64305	0.12261	0.81769	0.52848	-0.22825	-0.50389	0.84880	0.16011	0.27836	-0.01590	0.96035	
-761.20899	55.84807	158.22920	0.96272	16.16378	31.62731	0.13196	0.81782	0.52830	-0.22819	-0.50366	0.84890	0.16027	0.27838	-0.01614	0.96033	
-761.20450	55.85332	158.25363	0.96171	16.22019	31.62865	0.15975	0.81757	0.52833	-0.22900	-0.50354	0.84889	0.16075	0.27933	-0.01612	0.96006	
-761.19914	55.85500	158.26190	0.96728	16.22731	31.63501	0.14478	0.81749	0.52845	-0.22904	-0.50361	0.84881	0.16092	0.27945	-0.01621	0.96002	
-761.21065	55.84935	158.25879	0.96269	16.21544	31.63287	0.14349	0.81756	0.52840	-0.22892	-0.50361	0.84885	0.16074	0.27925	-0.01613	0.96008	
-761.18814	55.84761	158.24976	0.95070	16.17861	31.62953	0.12727	0.81774	0.52829	-0.22851	-0.50366	0.84892	0.16023	0.27863	-0.01594	0.96027	
-761.19357	55.83824	158.26060	0.96757	16.18263	31.63510	0.13881	0.81767	0.52844	-0.22840	-0.50373	0.84882	0.16054	0.27870	-0.01622	0.96024	
-761.20631	55.83667	158.24347	0.93942	16.15613	31.63785	0.14191	0.81776	0.52836	-0.22827	-0.50383	0.84887	0.15990	0.27826	-0.01575	0.96038	
-761.20345	55.84237	158.22212	0.94612	16.14394	31.62774	0.13208	0.81790	0.52824	-0.22806	-0.50372	0.84895	0.15985	0.27805	-0.01586	0.96044	
-761.20016	55.85283	158.25421	0.96821	16.17273	31.62771	0.14006	0.81778	0.52833	-0.22827	-0.50365	0.84888	0.16043	0.27853	-0.01623	0.96029	
-761.21939	55.85667	158.25122	0.94755	16.17174	31.63419	0.12976	0.81772	0.52834	-0.22843	-0.50374	0.84888	0.16014	0.27852	-0.01588	0.96030	
-761.19925	55.84787	158.25085	0.96450	16.20163	31.62527	0.14345	0.81768	0.52829	-0.22872	-0.50354	0.84891	0.16062	0.27902	-0.01616	0.96015	
-761.20183	55.85806	158.26435	0.95961	16.20322	31.62967	0.14376	0.81763	0.52833	-0.22878	-0.50360	0.84889	0.16058	0.27905	-0.01608	0.96014	
-761.20138	55.86466	158.26787	0.95729	16.19486	31.63275	0.14683	0.81764	0.52837	-0.22867	-0.50366	0.84886	0.16048	0.27890	-0.01604	0.96018	
-761.20209	55.82480	158.26075	0.95879	16.18888	31.63403	0.13147	0.81766	0.52839	-0.22857	-0.50369	0.84885	0.16046	0.27880	-0.01607	0.96021	
-761.22059	55.82184	158.22995	0.94846	16.17242	31.64619	0.12740	0.81762	0.52853	-0.22840	-0.50391	0.84877	0.16021	0.27853	-0.01590	0.96030	
-761.22037	55.81978	158.22350	0.94690	16.13293	31.63416	0.11952	0.81789	0.52833	-0.22788	-0.50384	0.84889	0.15979	0.27787	-0.01587	0.96049	
-761.20764	55.84493	158.22873	0.95481	16.17476	31.63956	0.13900	0.81766	0.52845	-0.22839	-0.50381	0.84881	0.16030	0.27857	-0.01600	0.96028	
-761.19736	55.84020	158.24372	0.95127	16.16202	31.62556	0.13688	0.81784	0.52823	-0.22828	-0.50364	0.84895	0.16008	0.27835	-0.01595	0.96035	
-761.19844	55.83840	158.24886	0.95001	16.17460	31.63063	0.13528	0.81774	0.52830	-0.22846	-0.50368	0.84891	0.16019	0.27857	-0.01592	0.96029	
-761.21182	55.83096	158.25994	0.94756	16.16946	31.63635	0.12410	0.81772	0.52838	-0.22839	-0.50378	0.84886	0.16013	0.27848	-0.01588	0.96031	
-761.19323	55.83548	158.25677	0.96746	16.19020	31.62234	0.14210	0.81775	0.52825	-0.22854	-0.50352	0.84893	0.16055	0.27883	-0.01621	0.96020	
-761.20933	55.83537	158.26807	0.94157	16.18810	31.62948	0.13686	0.81770	0.52825	-0.22873	-0.50363	0.84894	0.16018	0.27879	-0.01578	0.96022	
-761.19698	55.81917	158.25928	0.95961	16.18601	31.62884	0.13944	0.81771	0.52832	-0.22853	-0.50363	0.84890	0.16042	0.27876	-0.01608	0.96023	
-761.20986	55.84197	158.27755	0.96671	16.26001	31.62802	0.15421	0.81741	0.52835	-0.22953	-0.50343	0.84887	0.16118	0.28000	-0.01620	0.95986	
-761.21247	55.83572	158.23369	0.96214	16.18731	31.63346	0.14899	0.81767	0.52839	-0.22852	-0.50369	0.84885	0.16049	0.27878	-0.01613	0.96022	
-761.22278	55.83217	158.24117	0.96110	16.17704	31.63451	0.14070	0.81770	0.52840	-0.22838	-0.50373	0.84884	0.16039	0.27861	-0.01611	0.96027	
-761.20615	55.83880	158.24493	0.97382	16.16155	31.63067	0.13824	0.81780	0.52839	-0.22805	-0.50372	0.84884	0.16043	0.27835	-0.01632	0.96034	
-761.20383	55.84166	158.24772	0.95356	16.19719	31.63188	0.14920	0.81764	0.52834	-0.22874	-0.50364	0.84888	0.16044	0.27894	-0.01598	0.96017	
-761.20328	55.83771	158.24774	0.94560	16.13599	31.63434	0.13572	0.81787	0.52833	-0.22793	-0.50383	0.84889	0.15980	0.27792	-0.01585	0.96047	
