X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1231.64544	-61.19158	100.74461	0.04044	-1.68341	176.01352	0.13241	-0.99715	0.06954	-0.02926	-0.06949	-0.99758	-0.00275	-0.02938	-0.00071	0.99957	
1231.63650	-61.22247	100.79779	0.03647	-1.54702	176.04633	0.12734	-0.99726	0.06897	-0.02689	-0.06892	-0.99762	-0.00250	-0.02700	-0.00064	0.99964	
1231.64810	-61.19956	100.82898	0.08181	-1.50278	176.02585	0.12905	-0.99725	0.06934	-0.02606	-0.06928	-0.99759	-0.00324	-0.02623	-0.00143	0.99966	
1231.65432	-61.17684	100.82881	0.05655	-1.42555	176.02242	0.14177	-0.99728	0.06939	-0.02475	-0.06934	-0.99759	-0.00271	-0.02488	-0.00099	0.99969	
1231.61462	-61.20428	100.79842	0.06293	-1.53232	176.07574	0.12512	-0.99730	0.06847	-0.02660	-0.06841	-0.99765	-0.00293	-0.02674	-0.00110	0.99964	
1231.60268	-61.18202	100.81234	0.08579	-1.50565	176.05406	0.11728	-0.99729	0.06885	-0.02611	-0.06879	-0.99763	-0.00330	-0.02628	-0.00150	0.99965	
1231.63461	-61.19111	100.82202	0.05290	-1.53042	176.06110	0.13374	-0.99728	0.06872	-0.02658	-0.06867	-0.99764	-0.00276	-0.02671	-0.00092	0.99964	
1231.65180	-61.18164	100.84425	0.07017	-1.42844	176.04456	0.14752	-0.99731	0.06901	-0.02478	-0.06896	-0.99762	-0.00294	-0.02493	-0.00122	0.99969	
1231.64521	-61.19546	100.83310	0.05259	-1.46490	176.07086	0.13336	-0.99732	0.06855	-0.02544	-0.06850	-0.99765	-0.00267	-0.02556	-0.00092	0.99967	
1231.64189	-61.16372	100.81113	0.07366	-1.45374	176.04501	0.13213	-0.99730	0.06901	-0.02522	-0.06895	-0.99762	-0.00303	-0.02537	-0.00129	0.99968	
